"","Sample","Target","Well","CopiesPer20uLWell","Positives","Negatives","AcceptedDroplets","Threshold","Run","Dilution","Concentration","Meso.Num","Time","Size","Vol.Filtered.mL","GC.mL","Time.hr","Row","Treatment","Meso.Volume.mL","turbidity.NTU","pH","temp.C","doc.mg.L","velocity.m.s","depth.m","width.m","q.L.s","Total.ER.mg.hr","Water.ER.mg.hr.L","Leaf.ER.mg.hr.m2","NH4.ugN.L","NO3.ugN.L","SRP.ugP.L","Gc.mesocosm"
"34","M12_T1A_0.4","STHD","*",1169.33333333333,1794,34991,36785,4500,6,1,58.96,"M12","T1A",0.4,200,73.7,0.666666667,2,"DOC",24800,0.58,8.63,13.2,74.5,0.14,0.082,0.168,1.92864,NA,-0.348251748,NA,87.86,356,328.7,1827760
"35","M12_T1A_1.2","CARP","*",454,659,33605,34264,7000,6,1,22.9,"M12","T1A",1.2,200,28.625,0.666666667,2,"DOC",24800,0.58,8.63,13.2,74.5,0.14,0.082,0.168,1.92864,NA,-0.348251748,NA,87.86,356,328.7,709900
"36","M12_T1A_1.2","STHD","*",1986.66666666667,2778,31486,34264,4500,6,1,99.7,"M12","T1A",1.2,200,124.625,0.666666667,2,"DOC",24800,0.58,8.63,13.2,74.5,0.14,0.082,0.168,1.92864,NA,-0.348251748,NA,87.86,356,328.7,3090700
"37","M12_T2_0.4","CARP","*",18,28,34532,34560,7000,6,1,0.95,"M12","T2",0.4,200,1.1875,6,2,"DOC",24333.33333,3.47,8.79,12.9,NA,0.13,0.08,0.168,1.792,NA,-0.348251748,NA,NA,NA,NA,28895.833329375
"38","M12_T2_0.4","STHD","*",130.666666666667,204,34356,34560,4500,6,1,6.98,"M12","T2",0.4,200,8.725,6,2,"DOC",24333.33333,3.47,8.79,12.9,NA,0.13,0.08,0.168,1.792,NA,-0.348251748,NA,NA,NA,NA,212308.33330425
"39","M12_T2_1.2","CARP","*",609.333333333333,943,35930,36873,7000,6,1,30.55,"M12","T2",1.2,200,38.1875,6,2,"DOC",24333.33333,3.47,8.79,12.9,NA,0.13,0.08,0.168,1.792,NA,-0.348251748,NA,NA,NA,NA,929229.166539375
"40","M12_T2_1.2","STHD","*",2220,3319,33554,36873,4500,6,1,111.23,"M12","T2",1.2,200,139.0375,6,2,"DOC",24333.33333,3.47,8.79,12.9,NA,0.13,0.08,0.168,1.792,NA,-0.348251748,NA,NA,NA,NA,3383245.83286988
"41","M12_T3_0.4","CARP","*",2.5,8,67797,67805,7000,7,1,0.13,"M12","T3",0.4,200,0.1625,18,2,"DOC",23333.33333,4.36,8.88,12.4,NA,0.13,0.077,0.168,1.63856,NA,-0.348251748,NA,NA,NA,NA,3791.666666125
"42","M12_T3_0.4","STHD","*",20.0666666666667,60,67745,67805,4500,7,1,1.04,"M12","T3",0.4,200,1.3,18,2,"DOC",23333.33333,4.36,8.88,12.4,NA,0.13,0.077,0.168,1.63856,NA,-0.348251748,NA,NA,NA,NA,30333.333329
"43","M12_T3_1.2","CARP","*",45.3333333333333,67,35540,35607,7000,7,1,2.22,"M12","T3",1.2,200,2.775,18,2,"DOC",23333.33333,4.36,8.88,12.4,NA,0.13,0.077,0.168,1.63856,NA,-0.348251748,NA,NA,NA,NA,64749.99999075
"44","M12_T3_1.2","STHD","*",203.333333333333,305,35302,35607,4500,7,1,10.14,"M12","T3",1.2,200,12.675,18,2,"DOC",23333.33333,4.36,8.88,12.4,NA,0.13,0.077,0.168,1.63856,NA,-0.348251748,NA,NA,NA,NA,295749.99995775
"45","M12_T4_0.4","CARP","*",6.8,10,33838,33848,7000,8,1,0.34,"M12","T4",0.4,189,0.44973544973545,30,2,"DOC",22000,8.5,8.85,14.4,75.7,0.12,0.073,0.168,1.47168,NA,-0.348251748,NA,20.93,301.1,255.1,9894.17989417989
"46","M12_T4_0.4","STHD","*",60,87,33761,33848,4500,8,1,3.03,"M12","T4",0.4,189,4.00793650793651,30,2,"DOC",22000,8.5,8.85,14.4,75.7,0.12,0.073,0.168,1.47168,NA,-0.348251748,NA,20.93,301.1,255.1,88174.6031746032
"47","M12_T4_1.2","CARP","*",50.6666666666667,59,26512,26571,7000,8,1,2.62,"M12","T4",1.2,189,3.46560846560847,30,2,"DOC",22000,8.5,8.85,14.4,75.7,0.12,0.073,0.168,1.47168,NA,-0.348251748,NA,20.93,301.1,255.1,76243.3862433862
"48","M12_T4_1.2","STHD","*",276.666666666667,323,26248,26571,4500,8,1,14.42,"M12","T4",1.2,189,19.0740740740741,30,2,"DOC",22000,8.5,8.85,14.4,75.7,0.12,0.073,0.168,1.47168,NA,-0.348251748,NA,20.93,301.1,255.1,419629.62962963
"49","M13_T1A_0.4","CARP","*",100.666666666667,125,29672,29797,7000,8,1,4.95,"M13","T1A",0.4,200,6.1875,0.666666667,3,"NCH",24800,0.44,8.54,14.7,13.5,0.14,0.075,0.168,1.764,-0.016161972,0.042253521,NA,14.62,341,30.82,153450
"50","M13_T1A_0.4","STHD","*",854,1065,28732,29797,4500,8,1,42.92,"M13","T1A",0.4,200,53.65,0.666666667,3,"NCH",24800,0.44,8.54,14.7,13.5,0.14,0.075,0.168,1.764,-0.016161972,0.042253521,NA,14.62,341,30.82,1330520
"51","M13_T1A_1.2","CARP","*",527.333333333333,706,30990,31696,7000,8,1,26.56,"M13","T1A",1.2,200,33.2,0.666666667,3,"NCH",24800,0.44,8.54,14.7,13.5,0.14,0.075,0.168,1.764,-0.016161972,0.042253521,NA,14.62,341,30.82,823360
"52","M13_T1A_1.2","STHD","*",2953.33333333333,3749,27947,31696,4500,8,1,148.44,"M13","T1A",1.2,200,185.55,0.666666667,3,"NCH",24800,0.44,8.54,14.7,13.5,0.14,0.075,0.168,1.764,-0.016161972,0.042253521,NA,14.62,341,30.82,4601640
"53","M13_T2_0.4","CARP","*",52.6666666666667,76,34363,34439,7000,8,1,2.6,"M13","T2",0.4,200,3.25,6,3,"NCH",24666.66667,0.73,8.81,13.9,NA,0.12,0.074,0.168,1.49184,-0.016161972,0.042253521,NA,NA,NA,NA,80166.6666775
"54","M13_T2_0.4","STHD","*",493.333333333333,727,33712,34439,4500,8,1,25.16,"M13","T2",0.4,200,31.45,6,3,"NCH",24666.66667,0.73,8.81,13.9,NA,0.12,0.074,0.168,1.49184,-0.016161972,0.042253521,NA,NA,NA,NA,775766.6667715
"55","M13_T2_1.2","CARP","*",249.333333333333,356,33212,33568,7000,8,1,12.57,"M13","T2",1.2,200,15.7125,6,3,"NCH",24666.66667,0.73,8.81,13.9,NA,0.12,0.074,0.168,1.49184,-0.016161972,0.042253521,NA,NA,NA,NA,387575.000052375
"56","M13_T2_1.2","STHD","*",1240.66666666667,1726,31842,33568,4500,8,1,62.24,"M13","T2",1.2,200,77.8,6,3,"NCH",24666.66667,0.73,8.81,13.9,NA,0.12,0.074,0.168,1.49184,-0.016161972,0.042253521,NA,NA,NA,NA,1919066.666926
"57","M13_T3_0.4","CARP","*",28,45,38873,38918,7000,10,1,1.36,"M13","T3",0.4,200,1.7,18,3,"NCH",23666.66667,0.81,8.85,13,NA,0.1,0.071,0.168,1.1928,-0.016161972,0.042253521,NA,NA,NA,NA,40233.333339
"58","M13_T3_0.4","STHD","*",146,242,38676,38918,4500,10,1,7.35,"M13","T3",0.4,200,9.1875,18,3,"NCH",23666.66667,0.81,8.85,13,NA,0.1,0.071,0.168,1.1928,-0.016161972,0.042253521,NA,NA,NA,NA,217437.500030625
"59","M13_T3_1.2","CARP","*",92,146,38095,38241,7000,10,1,4.51,"M13","T3",1.2,200,5.6375,18,3,"NCH",23666.66667,0.81,8.85,13,NA,0.1,0.071,0.168,1.1928,-0.016161972,0.042253521,NA,NA,NA,NA,133420.833352125
"60","M13_T3_1.2","STHD","*",438,712,37529,38241,4500,10,1,22.16,"M13","T3",1.2,200,27.7,18,3,"NCH",23666.66667,0.81,8.85,13,NA,0.1,0.071,0.168,1.1928,-0.016161972,0.042253521,NA,NA,NA,NA,655566.666759
"61","M13_T4_0.4","CARP","*",6.2,11,40063,40074,7000,10,1,0.32,"M13","T4",0.4,200,0.4,30,3,"NCH",22333.33333,0.83,8.87,14.3,30.1,0.08,0.067,0.168,0.90048,-0.016161972,0.042253521,NA,10.39,240.2,20.67,8933.333332
"62","M13_T4_0.4","STHD","*",46,77,39997,40074,4500,10,1,2.26,"M13","T4",0.4,200,2.825,30,3,"NCH",22333.33333,0.83,8.87,14.3,30.1,0.08,0.067,0.168,0.90048,-0.016161972,0.042253521,NA,10.39,240.2,20.67,63091.66665725
"63","M13_T4_1.2","CARP","*",27.3333333333333,49,41932,41981,7000,10,1,1.37,"M13","T4",1.2,200,1.7125,30,3,"NCH",22333.33333,0.83,8.87,14.3,30.1,0.08,0.067,0.168,0.90048,-0.016161972,0.042253521,NA,10.39,240.2,20.67,38245.833327625
"64","M13_T4_1.2","STHD","*",192.666666666667,342,41639,41981,4500,10,1,9.64,"M13","T4",1.2,200,12.05,30,3,"NCH",22333.33333,0.83,8.87,14.3,30.1,0.08,0.067,0.168,0.90048,-0.016161972,0.042253521,NA,10.39,240.2,20.67,269116.6666265
"65","M14_T1A_0.4","CARP","*",64.6666666666667,89,32579,32668,7000,8,1,3.21,"M14","T1A",0.4,200,4.0125,0.666666667,3,"BFL",24800,2.79,8.55,15.1,7,0.16,0.076,0.168,2.04288,-0.010267606,-0.085106383,NA,8.132,327.2,13.95,99510
"66","M14_T1A_0.4","STHD","*",579.333333333333,797,31871,32668,4500,8,1,29.12,"M14","T1A",0.4,200,36.4,0.666666667,3,"BFL",24800,2.79,8.55,15.1,7,0.16,0.076,0.168,2.04288,-0.010267606,-0.085106383,NA,8.132,327.2,13.95,902720
"67","M14_T1A_1.2","CARP","*",357.333333333333,536,35078,35614,7000,8,1,17.88,"M14","T1A",1.2,200,22.35,0.666666667,3,"BFL",24800,2.79,8.55,15.1,7,0.16,0.076,0.168,2.04288,-0.010267606,-0.085106383,NA,8.132,327.2,13.95,554280
"68","M14_T1A_1.2","STHD","*",1740,2536,33078,35614,4500,8,1,87.11,"M14","T1A",1.2,200,108.8875,0.666666667,3,"BFL",24800,2.79,8.55,15.1,7,0.16,0.076,0.168,2.04288,-0.010267606,-0.085106383,NA,8.132,327.2,13.95,2700410
"69","M14_T2_0.4","CARP","*",54.6666666666667,88,37978,38066,7000,10,1,2.72,"M14","T2",0.4,200,3.4,6,3,"BFL",24666.66667,1.45,8.66,14.1,NA,0.15,0.075,0.168,1.848,-0.010267606,-0.085106383,NA,NA,NA,NA,83866.666678
"70","M14_T2_0.4","STHD","*",416,664,37402,38066,4500,10,1,20.75,"M14","T2",0.4,200,25.9375,6,3,"BFL",24666.66667,1.45,8.66,14.1,NA,0.15,0.075,0.168,1.848,-0.010267606,-0.085106383,NA,NA,NA,NA,639791.666753125
"71","M14_T2_1.2","CARP","*",90.6666666666667,128,32573,32701,7000,10,1,4.62,"M14","T2",1.2,200,5.775,6,3,"BFL",24666.66667,1.45,8.66,14.1,NA,0.15,0.075,0.168,1.848,-0.010267606,-0.085106383,NA,NA,NA,NA,142450.00001925
"72","M14_T2_1.2","STHD","*",606,829,31872,32701,4500,10,1,30.28,"M14","T2",1.2,200,37.85,6,3,"BFL",24666.66667,1.45,8.66,14.1,NA,0.15,0.075,0.168,1.848,-0.010267606,-0.085106383,NA,NA,NA,NA,933633.3334595
"73","M14_T3_0.4","CARP","*",6.06666666666667,9,37281,37290,7000,10,1,0.28,"M14","T3",0.4,200,0.35,18,3,"BFL",23666.66667,0.33,8.67,13,NA,0.13,0.072,0.168,1.6128,-0.010267606,-0.085106383,NA,NA,NA,NA,8283.3333345
"74","M14_T3_0.4","STHD","*",24.6666666666667,39,37251,37290,4500,10,1,1.23,"M14","T3",0.4,200,1.5375,18,3,"BFL",23666.66667,0.33,8.67,13,NA,0.13,0.072,0.168,1.6128,-0.010267606,-0.085106383,NA,NA,NA,NA,36387.500005125
"75","M14_T3_1.2","CARP","*",13,20,38346,38366,7000,10,1,0.61,"M14","T3",1.2,200,0.7625,18,3,"BFL",23666.66667,0.33,8.67,13,NA,0.13,0.072,0.168,1.6128,-0.010267606,-0.085106383,NA,NA,NA,NA,18045.833335875
"76","M14_T3_1.2","STHD","*",166.666666666667,268,38098,38366,4500,10,1,8.26,"M14","T3",1.2,200,10.325,18,3,"BFL",23666.66667,0.33,8.67,13,NA,0.13,0.072,0.168,1.6128,-0.010267606,-0.085106383,NA,NA,NA,NA,244358.33336775
"77","M14_T4_0.4","CARP","*",1.4,2,35888,35890,7000,10,1,0.06,"M14","T4",0.4,200,0.075,30,3,"BFL",22666.66667,0.31,8.74,14.5,11,0.12,0.069,0.168,1.39104,-0.010267606,-0.085106383,NA,-0.8508,154.8,14.37,1700.00000025
"78","M14_T4_0.4","STHD","*",10.3333333333333,15,35875,35890,4500,10,1,0.49,"M14","T4",0.4,200,0.6125,30,3,"BFL",22666.66667,0.31,8.74,14.5,11,0.12,0.069,0.168,1.39104,-0.010267606,-0.085106383,NA,-0.8508,154.8,14.37,13883.333335375
"79","M14_T4_1.2","CARP","*",7.33333333333333,13,41874,41887,7000,10,1,0.36,"M14","T4",1.2,200,0.45,30,3,"BFL",22666.66667,0.31,8.74,14.5,11,0.12,0.069,0.168,1.39104,-0.010267606,-0.085106383,NA,-0.8508,154.8,14.37,10200.0000015
"80","M14_T4_1.2","STHD","*",68,121,41766,41887,4500,10,1,3.41,"M14","T4",1.2,200,4.2625,30,3,"BFL",22666.66667,0.31,8.74,14.5,11,0.12,0.069,0.168,1.39104,-0.010267606,-0.085106383,NA,-0.8508,154.8,14.37,96616.666680875
"81","M15_T1A_0.4","CARP","*",44.6,113,53970,54083,7000,14,1,2.46,"M15","T1A",0.4,200,3.075,0.666666667,3,"DOC",24800,1.66,8.63,14.7,4.3,0.19,0.075,0.168,2.394,NA,0.097777778,NA,107.5,364.1,264.9,76260
"82","M15_T1A_0.4","STHD","*",307.2,868,53215,54083,4500,14,1,19.07,"M15","T1A",0.4,200,23.8375,0.666666667,3,"DOC",24800,1.66,8.63,14.7,4.3,0.19,0.075,0.168,2.394,NA,0.097777778,NA,107.5,364.1,264.9,591170
"83","M15_T1A_0.4_2","CARP","*",75,86,26952,27038,7000,17,2,7.51,"M15","T1A",0.4,200,9.3875,0.666666667,3,"DOC",24800,1.66,8.63,14.7,4.3,0.19,0.075,0.168,2.394,NA,0.097777778,NA,107.5,364.1,264.9,232810
"84","M15_T1A_0.4_2","STHD","*",635,720,26318,27038,4500,17,2,63.65,"M15","T1A",0.4,200,79.5625,0.666666667,3,"DOC",24800,1.66,8.63,14.7,4.3,0.19,0.075,0.168,2.394,NA,0.097777778,NA,107.5,364.1,264.9,1973150
"85","M15_T1A_1.2","CARP","*",651.333333333333,994,35413,36407,7000,8,1,32.64,"M15","T1A",1.2,200,40.8,0.666666667,3,"DOC",24800,1.66,8.63,14.7,4.3,0.19,0.075,0.168,2.394,NA,0.097777778,NA,107.5,364.1,264.9,1011840
"86","M15_T1A_1.2","STHD","*",3026.66666666667,4392,32015,36407,4500,8,1,151.59,"M15","T1A",1.2,200,189.4875,0.666666667,3,"DOC",24800,1.66,8.63,14.7,4.3,0.19,0.075,0.168,2.394,NA,0.097777778,NA,107.5,364.1,264.9,4699290
"87","M15_T2_0.4","CARP","*",72.6666666666667,126,40761,40887,7000,10,1,3.63,"M15","T2",0.4,200,4.5375,6,3,"DOC",24333.33333,3.69,8.79,14.1,NA,0.19,0.073,0.168,2.28928,NA,0.097777778,NA,NA,NA,NA,110412.499984875
"88","M15_T2_0.4","STHD","*",517.333333333333,888,39999,40887,4500,10,1,25.89,"M15","T2",0.4,200,32.3625,6,3,"DOC",24333.33333,3.69,8.79,14.1,NA,0.19,0.073,0.168,2.28928,NA,0.097777778,NA,NA,NA,NA,787487.499892125
"89","M15_T2_1.2","CARP","*",2.92,8,51883,51891,7000,14,1,0.18,"M15","T2",1.2,200,0.225,6,3,"DOC",24333.33333,3.69,8.79,14.1,NA,0.19,0.073,0.168,2.28928,NA,0.097777778,NA,NA,NA,NA,5474.99999925
"90","M15_T2_1.2","STHD","*",67.2,202,51689,51891,4500,14,1,4.59,"M15","T2",1.2,200,5.7375,6,3,"DOC",24333.33333,3.69,8.79,14.1,NA,0.19,0.073,0.168,2.28928,NA,0.097777778,NA,NA,NA,NA,139612.499980875
"91","M15_T2_1.2_10","CARP","*",28,29,24720,24749,7000,17,10,13.82,"M15","T2",1.2,200,17.275,6,3,"DOC",24333.33333,3.69,8.79,14.1,NA,0.19,0.073,0.168,2.28928,NA,0.097777778,NA,NA,NA,NA,420358.33327575
"92","M15_T2_1.2_10","STHD","*",108,116,24633,24749,4500,17,10,55.4,"M15","T2",1.2,200,69.25,6,3,"DOC",24333.33333,3.69,8.79,14.1,NA,0.19,0.073,0.168,2.28928,NA,0.097777778,NA,NA,NA,NA,1685083.3331025
"93","M15_T2_1.2_2","CARP","*",216,215,22620,22835,7000,17,2,22.31,"M15","T2",1.2,200,27.8875,6,3,"DOC",24333.33333,3.69,8.79,14.1,NA,0.19,0.073,0.168,2.28928,NA,0.097777778,NA,NA,NA,NA,678595.833240375
"94","M15_T2_1.2_2","STHD","*",825,818,22017,22835,4500,17,2,86.03,"M15","T2",1.2,200,107.5375,6,3,"DOC",24333.33333,3.69,8.79,14.1,NA,0.19,0.073,0.168,2.28928,NA,0.097777778,NA,NA,NA,NA,2616745.83297487
"95","M15_T2_1.2_5","CARP","*",56,73,30407,30480,7000,17,5,14.13,"M15","T2",1.2,200,17.6625,6,3,"DOC",24333.33333,3.69,8.79,14.1,NA,0.19,0.073,0.168,2.28928,NA,0.097777778,NA,NA,NA,NA,429787.499941125
"96","M15_T2_1.2_5","STHD","*",271,349,30131,30480,4500,17,5,67.9,"M15","T2",1.2,200,84.875,6,3,"DOC",24333.33333,3.69,8.79,14.1,NA,0.19,0.073,0.168,2.28928,NA,0.097777778,NA,NA,NA,NA,2065291.66638375
